host,channel,index,start_time,get_ice_config_signaling_call,connect_signaling_client,tls_handshake_time,offer_sent_to_answer_received_time,dtls_initialization_completion,ice_hole_punching_time,first_audio_time,audio_latency_ms,first_video_time,video_latency_ms,pull_success,stable_audio,stable_video
52.83.211.74,lzgde792c58984114268,2,'2025-06-25 09:56:53.906',153,166,99,420,106,156,'2025-06-25 09:56:55.000',1094,'2025-06-25 09:56:55.040',1134,yes,yes,yes
52.83.211.74,lzgde792c58984114268,3,'2025-06-25 09:56:54.005',140,153,99,480,129,179,'2025-06-25 09:56:55.000',995,'2025-06-25 09:56:55.040',1035,yes,yes,yes
52.83.211.74,lzgdf0963cb6f8031ed7,1,'2025-06-25 09:57:08.508',134,171,99,458,130,180,'2025-06-25 09:57:09.630',1122,'2025-06-25 09:57:09.651',1143,yes,yes,yes
52.83.211.74,lzgdf0963cb6f8031ed7,2,'2025-06-25 09:57:08.607',136,144,99,388,115,166,'2025-06-25 09:57:09.650',1043,'2025-06-25 09:57:09.690',1083,yes,yes,yes
52.83.211.74,lzgdf0963cb6f8031ed7,3,'2025-06-25 09:57:08.709',136,148,99,430,126,176,'2025-06-25 09:57:09.650',941,'2025-06-25 09:57:09.690',981,yes,yes,yes
52.83.211.74,lzgdf832e982b92ddb91,1,'2025-06-25 09:57:06.721',149,164,99,494,114,164,'2025-06-25 09:57:07.914',1193,'2025-06-25 09:57:07.935',1214,yes,yes,yes
52.83.211.74,lzgdf832e982b92ddb91,2,'2025-06-25 09:57:06.819',165,176,99,411,108,158,'2025-06-25 09:57:07.935',1116,'2025-06-25 09:57:07.974',1155,yes,yes,yes
52.83.211.74,lzgdf832e982b92ddb91,3,'2025-06-25 09:57:06.919',128,161,99,500,137,188,'2025-06-25 09:57:07.935',1016,'2025-06-25 09:57:07.974',1055,yes,yes,yes
52.83.211.74,lzgdfa35671c595cd064,1,'2025-06-25 09:57:11.255',147,179,100,545,130,180,'2025-06-25 09:57:12.488',1233,'2025-06-25 09:57:12.508',1253,yes,yes,yes
52.83.211.74,lzgdfa35671c595cd064,2,'2025-06-25 09:57:11.354',145,234,100,386,113,163,'2025-06-25 09:57:12.508',1154,'2025-06-25 09:57:12.548',1194,yes,yes,yes
52.83.211.74,lzgdfa35671c595cd064,3,'2025-06-25 09:57:11.452',137,178,100,513,122,173,'2025-06-25 09:57:12.508',1056,'2025-06-25 09:57:12.548',1096,yes,yes,yes
